"","order_var","article_title","n","mins","hrs"
"42",1,"Kate in hospital as King to get prostate treatment",69,345,5.75
"43",1,"They were Israel's eyes on the border - but their Hamas warnings went unheard",68,340,5.66666666666667
"44",1,"Jacinda Ardern marries partner in private ceremony",64,320,5.33333333333333
"45",1,"Zuckerberg apologises to families in fiery Senate hearing",64,320,5.33333333333333
"46",1,"'My memory is fine' - Biden hits back at special counsel",62,310,5.16666666666667
"47",1,"Georgia prosecutors in Trump case admit affair",62,310,5.16666666666667
"48",1,"World's largest cruise ship to set sail from Miami",62,310,5.16666666666667
"49",1,"Huge galaxy ring challenges thinking on universe",60,300,5
"50",1,"Former CIA hacker sentenced to 40 years in prison",58,290,4.83333333333333
"51",1,"Brunei's 'hot prince' formally marries in ceremony",55,275,4.58333333333333
"52",1,"Israel says 24 soldiers killed in Gaza in one day",55,275,4.58333333333333
"53",1,"Putin challenger barred from Russia's election",54,270,4.5
"54",1,"Princess of Wales in hospital after abdominal surgery",53,265,4.41666666666667
"55",1,"Six held over plot to disrupt London Stock Exchange",53,265,4.41666666666667
"56",1,"Israeli war leader challenges Netanyahu over Gaza",51,255,4.25
"57",1,"Grammys 2024: The highs, lows and why Swift won",49,245,4.08333333333333
"58",1,"Controversy after Ukrainian-born model crowned Miss Japan",46,230,3.83333333333333
"59",1,"How London hotel sting caught Swiss museum heist thieves",46,230,3.83333333333333
"60",1,"Netanyahu rejects Hamas's proposed ceasefire terms",46,230,3.83333333333333
"61",1,"Crisis-hit China Evergrande ordered to liquidate",45,225,3.75
"62",1,"Defamation defeat a double-edged sword for Trump",45,225,3.75
"63",1,"Mother convicted for failing to stop school shooting",45,225,3.75
"64",1,"Snoop Dogg’s daughter speaks of shock after stroke",45,225,3.75
"65",1,"Ecuador declares war on gangs after TV attack",44,220,3.66666666666667
"66",1,"Gosling 'disappointed' at Gerwig and Robbie Oscar snubs",44,220,3.66666666666667
"67",1,"Hamas video claims to show dead Israeli hostages",43,215,3.58333333333333
"68",1,"Israeli father fears hostage daughter was sexually abused",43,215,3.58333333333333
"69",1,"Pakistan launches retaliatory strikes into Iran",43,215,3.58333333333333
"70",1,"Boeing seeks Ryanair support after mid-air blowout",42,210,3.5
"71",1,"Judge threatens to kick Trump out of defamation trial",41,205,3.41666666666667
"72",1,"I noticed a bulging lump sensation in my vagina",40,200,3.33333333333333
"73",1,"Downed Russian plane leaves unanswered questions",39,195,3.25
"74",1,"Germans mull ban on elected far-right party after scandal",39,195,3.25
"75",1,"Zelensky sacks Ukraine's commander-in-chief",39,195,3.25
"76",1,"Israel W Bank hospital raid kills three Palestinian fighters",37,185,3.08333333333333
"77",1,"Iran security officials killed 'in Israeli strike'",36,180,3
"78",1,"Iranian Navy seizes oil tanker near Oman",36,180,3
"79",1,"US approves plan for strikes on Iranian targets",36,180,3
