"","article_title","n","mins","hrs"
"498","Parents of Grand Canyon crash victim to get £79m",68,340,5.66666666666667
"499","Shangri-Las lead singer Mary Weiss dies aged 75",68,340,5.66666666666667
"500","Trump blasts judge as New York fraud trial nears end",68,340,5.66666666666667
"501","Audio of US defence secretary's 911 call released",67,335,5.58333333333333
"502","Microsoft says AI is getting deployed 'at scale'",67,335,5.58333333333333
"503","Swedish police destroy object outside Israeli embassy",67,335,5.58333333333333
"504","What does Putin gain from Tucker Carlson interview?",67,335,5.58333333333333
"505","'I can't see': Witnesses recount 'horrific' scene in south London",66,330,5.5
"506","Aaron Rodgers will no longer appear on ESPN show",66,330,5.5
"507","DPD error caused chatbot to swear at customer",66,330,5.5
"508","Five things in the Biden classified documents report",66,330,5.5
"509","Foreign residents sue Japan over racial profiling",66,330,5.5
"510","Political grenade puts spotlight on Biden’s age",66,330,5.5
"511","Trailblazing Radio 1 DJ Annie Nightingale dies",66,330,5.5
"512","King doing 'extremely well' after diagnosis - Queen",65,325,5.41666666666667
"513","Maignan and Milan walk off after alleged racist abuse",65,325,5.41666666666667
"514","Stuffed polar bear stolen in bizarre heist",65,325,5.41666666666667
"515","US inmate hours away from first nitrogen execution",65,325,5.41666666666667
"516","First Russia-Ukraine prisoner swap since plane crash",64,320,5.33333333333333
"517","Greek mafia boss killed in hail of bullets",64,320,5.33333333333333
"518","Greek ship hit by Houthi missile in Red Sea",64,320,5.33333333333333
"519","World's largest cruise ship to set sail from Miami",64,320,5.33333333333333
"520","Albanian court greenlights migration deal with Italy",63,315,5.25
"521","North Korea fires cruise missiles off east coast",63,315,5.25
"522","Police officers mock footage of victim’s seizure",63,315,5.25
"523","Russian sanctioned for Australia's worst data hack",63,315,5.25
"524","Chaos and 'lack of urgency' led to Uvalde failures",62,310,5.16666666666667
"525","General's sacking won't instantly solve Ukraine's battle woes",62,310,5.16666666666667
"526","Houthis claim hit on US container ship in Red Sea",62,310,5.16666666666667
"527","Jennifer Lopez takes Bob the Builder to big screen",62,310,5.16666666666667
"528","King Charles to be treated for benign prostate condition",62,310,5.16666666666667
"529","Nollywood star sentenced for stepping on naira notes",62,310,5.16666666666667
"530","Oppenheimer leads SAG nominations but Leo snubbed",62,310,5.16666666666667
"531","War in Yemen: UAE funded political assassinations",62,310,5.16666666666667
"532","William to return to work after Kate's surgery",62,310,5.16666666666667
"533","Fast fashion helps fuel blazing kilns where workers faint from heat",61,305,5.08333333333333
"534","French volunteers killed in Russian strike - Macron",61,305,5.08333333333333
"535","Israel strikes southern Gaza city swollen with displaced people",61,305,5.08333333333333
"536","Brunei's 'hot prince' formally marries in ceremony",60,300,5
"537","France to tighten migrant law despite court ruling",60,300,5
"538","Macron shifts to right on schools and birth rate",60,300,5
"539","'Catastrophic' flood risk for drenched California",59,295,4.91666666666667
"540","Rapper Killer Mike detained at Grammys ceremony",59,295,4.91666666666667
"541","Toyota recalls cars over 'injury or death' fears",59,295,4.91666666666667
"542","US says it will not back unplanned Rafah offensive",59,295,4.91666666666667
"543","'God gave us Trump' - evangelicals key in Iowa vote",58,290,4.83333333333333
"544","First West African nation hits malaria-free status",58,290,4.83333333333333
"545","Houthis hit US-owned ship after 'terror' designation",58,290,4.83333333333333
"546","Mum and girls hurt in 'corrosive substance' attack",58,290,4.83333333333333
"547","Pentagon chief apologises for secretive hospital stay",58,290,4.83333333333333
"548","Spain's congress rejects Catalan separatists bill",58,290,4.83333333333333
"549","Germans float ban on elected far-right party after scandal",57,285,4.75
"550","US launches fourth round of strikes on Houthi targets",57,285,4.75
"551","Dog-lovers race to save strays from Russian cull",56,280,4.66666666666667
"552","Ecuador declares war on gangs after TV attack",56,280,4.66666666666667
"553","FKA twigs responds to Calvin Klein advert ban",56,280,4.66666666666667
"554","Iraqi militant group suspends attacks against US",56,280,4.66666666666667
"555","Martin Luther King Jr's son Dexter dies of cancer",56,280,4.66666666666667
"556","Russian missiles wreck Kharkiv hotel, Ukraine says",56,280,4.66666666666667
"557","Top Palestinian envoy says UK guilty of hypocrisy",56,280,4.66666666666667
"558","Why the world is watching US election so closely",56,280,4.66666666666667
"559","US launches more strikes against Houthis in Yemen",55,275,4.58333333333333
"560","Why did the US wait to retaliate for the drone strike?",55,275,4.58333333333333
"561","'Ratatouille restaurant' loses £1.3m-worth of wine",54,270,4.5
"562","Biden wins in New Hampshire despite ballot no-show",54,270,4.5
"563","California braces for 'life-threatening' rain storm",54,270,4.5
"564","Ecuador prosecutor probing TV studio attack killed",54,270,4.5
"565","Fears for farm animals stuck on ship off Australia",54,270,4.5
"566","Is a waning Canadian dream fuelling reverse migration?",54,270,4.5
"567","Pakistan condemns deadly Iranian missile strike",54,270,4.5
"568","Uniqlo sues Shein over claims firm copied viral bag",54,270,4.5
"569","US defence secretary remains in hospital - Pentagon",54,270,4.5
