order,value,url,scrape_date,order_var
5,Australia rejects historic Indigenous referendum,NA,2023-10-15T11:05:05Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:05:05Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T11:05:05Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:05:05Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:05:05Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T11:05:05Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:10:11Z,NA
2,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:10:11Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:10:11Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:10:11Z,NA
5,Australia rejects historic Indigenous referendum,NA,2023-10-15T11:10:11Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:10:11Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T11:10:11Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:10:11Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:10:11Z,NA
10,Thousands march in UK pro-Palestinian protests,NA,2023-10-15T11:10:11Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:15:16Z,NA
2,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:15:16Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:15:16Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:15:16Z,NA
5,Australia rejects historic Indigenous referendum,NA,2023-10-15T11:15:16Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:15:16Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T11:15:16Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:15:16Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:15:16Z,NA
10,Thousands march in UK pro-Palestinian protests,NA,2023-10-15T11:15:16Z,NA
